metric_a,metric_b,I_Y_a,I_Y_b,I_Y_ab,coinformation,kappa,relationship
entanglement,entanglement_entropy,0.263464,0.299905,0.301107,0.262262,0.8709927633260081,REDUNDANCY
entanglement,influence,0.263464,0.166084,0.352677,0.076871,0.21796329648437177,REDUNDANCY
entanglement,spectral_entropy,0.263464,0.137014,0.332422,0.068056,0.20472679726327228,REDUNDANCY
entanglement,repetitiveness,0.263464,0.105177,0.287957,0.080683,0.280192929019253,REDUNDANCY
entanglement,nolinearity,0.263464,0.058826,0.282703,0.039587,0.1400300238342369,REDUNDANCY
entanglement,entropy,0.263464,0.035755,0.275291,0.023928,0.08691906570423995,REDUNDANCY
entanglement,sensitivity,0.263464,0.021654,0.280968,0.004150,0.014771901401964918,REDUNDANCY
entanglement,certificate_complexity,0.263464,0.021703,0.280717,0.004450,0.015851830656850724,REDUNDANCY
entanglement,counting,0.263464,0.010481,0.268897,0.005047,0.018769395284357816,REDUNDANCY
entanglement,degree,0.263464,0.004772,0.267812,0.000424,0.001583656465635732,REDUNDANCY
entanglement_entropy,influence,0.299905,0.166084,0.380498,0.085491,0.2246813060788935,REDUNDANCY
entanglement_entropy,spectral_entropy,0.299905,0.137014,0.376444,0.060475,0.16064873426633722,REDUNDANCY
entanglement_entropy,repetitiveness,0.299905,0.105177,0.317804,0.087278,0.2746267902474755,REDUNDANCY
entanglement_entropy,nolinearity,0.299905,0.058826,0.318526,0.040205,0.12622229357758583,REDUNDANCY
entanglement_entropy,entropy,0.299905,0.035755,0.310789,0.024871,0.08002451760851687,REDUNDANCY
entanglement_entropy,sensitivity,0.299905,0.021654,0.320798,0.000761,0.00237138161058298,REDUNDANCY
entanglement_entropy,certificate_complexity,0.299905,0.021703,0.320474,0.001134,0.003537704228406728,REDUNDANCY
entanglement_entropy,counting,0.299905,0.010481,0.305587,0.004799,0.015703604334966405,REDUNDANCY
entanglement_entropy,degree,0.299905,0.004772,0.304767,-0.000090,-0.00029497274273336885,SYNERGY
influence,spectral_entropy,0.166084,0.137014,0.313848,-0.010750,-0.03425139905183615,SYNERGY
influence,repetitiveness,0.166084,0.105177,0.208895,0.062366,0.2985496894971367,REDUNDANCY
influence,nolinearity,0.166084,0.058826,0.222303,0.002607,0.011728845718653048,REDUNDANCY
influence,entropy,0.166084,0.035755,0.170947,0.030893,0.18071477065577785,REDUNDANCY
influence,sensitivity,0.166084,0.021654,0.169500,0.018238,0.10759923990917203,REDUNDANCY
influence,certificate_complexity,0.166084,0.021703,0.169799,0.017988,0.1059389057841298,REDUNDANCY
influence,counting,0.166084,0.010481,0.167542,0.009023,0.05385210780843867,REDUNDANCY
influence,degree,0.166084,0.004772,0.166679,0.004178,0.025063781504077873,REDUNDANCY
spectral_entropy,repetitiveness,0.137014,0.105177,0.222864,0.019327,0.0867198446446713,REDUNDANCY
spectral_entropy,nolinearity,0.137014,0.058826,0.137065,0.058775,0.4288159779504521,REDUNDANCY
spectral_entropy,entropy,0.137014,0.035755,0.182373,-0.009604,-0.052661747645462186,SYNERGY
spectral_entropy,sensitivity,0.137014,0.021654,0.151820,0.006848,0.04510839351238958,REDUNDANCY
spectral_entropy,certificate_complexity,0.137014,0.021703,0.152321,0.006396,0.04198697561674302,REDUNDANCY
spectral_entropy,counting,0.137014,0.010481,0.152697,-0.005203,-0.03407158434550442,SYNERGY
spectral_entropy,degree,0.137014,0.004772,0.139685,0.002101,0.015042072277979376,REDUNDANCY
repetitiveness,nolinearity,0.105177,0.058826,0.144835,0.019168,0.13234299303037678,REDUNDANCY
repetitiveness,entropy,0.105177,0.035755,0.121639,0.019292,0.15860404723816351,REDUNDANCY
repetitiveness,sensitivity,0.105177,0.021654,0.124818,0.002013,0.016126276911204166,REDUNDANCY
repetitiveness,certificate_complexity,0.105177,0.021703,0.124918,0.001962,0.015702479563799644,REDUNDANCY
repetitiveness,counting,0.105177,0.010481,0.112745,0.002912,0.02582660000152523,REDUNDANCY
repetitiveness,degree,0.105177,0.004772,0.109758,0.000191,0.0017393315738745408,REDUNDANCY
nolinearity,entropy,0.058826,0.035755,0.097658,-0.003077,-0.031508792592287185,SYNERGY
nolinearity,sensitivity,0.058826,0.021654,0.075979,0.004501,0.0592381489403569,REDUNDANCY
nolinearity,certificate_complexity,0.058826,0.021703,0.076704,0.003825,0.04987244653384083,REDUNDANCY
nolinearity,counting,0.058826,0.010481,0.068697,0.000610,0.008879185399860226,REDUNDANCY
nolinearity,degree,0.058826,0.004772,0.061896,0.001702,0.027491991968090778,REDUNDANCY
entropy,sensitivity,0.035755,0.021654,0.071733,-0.014324,-0.1996820359029062,SYNERGY
entropy,certificate_complexity,0.035755,0.021703,0.071470,-0.014012,-0.1960568905085327,SYNERGY
entropy,counting,0.035755,0.010481,0.035755,0.010481,0.29312584625790467,REDUNDANCY
entropy,degree,0.035755,0.004772,0.039193,0.001334,0.03403398600190244,REDUNDANCY
sensitivity,certificate_complexity,0.021654,0.021703,0.022788,0.020569,0.9025929594819188,REDUNDANCY
sensitivity,counting,0.021654,0.010481,0.035950,-0.003815,-0.1061218043857619,SYNERGY
sensitivity,degree,0.021654,0.004772,0.024068,0.002358,0.09797051163575073,REDUNDANCY
certificate_complexity,counting,0.021703,0.010481,0.035901,-0.003717,-0.10353825599712352,SYNERGY
certificate_complexity,degree,0.021703,0.004772,0.024229,0.002246,0.09268956368613032,REDUNDANCY
counting,degree,0.010481,0.004772,0.013935,0.001318,0.09457393025251849,REDUNDANCY
