metric_a,metric_b,I_Y_a,I_Y_b,I_Y_ab,coinformation,kappa,relationship
entanglement,entanglement_entropy,0.171713,0.196713,0.197208,0.171218,0.8682112360050634,REDUNDANCY
entanglement,influence,0.171713,0.118877,0.232544,0.058046,0.24961150720617786,REDUNDANCY
entanglement,spectral_entropy,0.171713,0.095554,0.214799,0.052468,0.24426362397463616,REDUNDANCY
entanglement,repetitiveness,0.171713,0.074454,0.190302,0.055865,0.29355921902455434,REDUNDANCY
entanglement,nolinearity,0.171713,0.044399,0.185260,0.030851,0.16652900334393492,REDUNDANCY
entanglement,entropy,0.171713,0.025846,0.179121,0.018438,0.10293648751109191,REDUNDANCY
entanglement,sensitivity,0.171713,0.015479,0.183940,0.003252,0.01767969385110293,REDUNDANCY
entanglement,certificate_complexity,0.171713,0.015003,0.183643,0.003072,0.016730102788044262,REDUNDANCY
entanglement,counting,0.171713,0.007250,0.174826,0.004137,0.02366087103277605,REDUNDANCY
entanglement,degree,0.171713,0.003431,0.174615,0.000529,0.003028092767497845,REDUNDANCY
entanglement_entropy,influence,0.196713,0.118877,0.249182,0.066409,0.26650617528071097,REDUNDANCY
entanglement_entropy,spectral_entropy,0.196713,0.095554,0.241049,0.051218,0.21248079644426227,REDUNDANCY
entanglement_entropy,repetitiveness,0.196713,0.074454,0.209730,0.061438,0.2929372146034937,REDUNDANCY
entanglement_entropy,nolinearity,0.196713,0.044399,0.208730,0.032382,0.15513825525497313,REDUNDANCY
entanglement_entropy,entropy,0.196713,0.025846,0.202828,0.019732,0.09728357657294141,REDUNDANCY
entanglement_entropy,sensitivity,0.196713,0.015479,0.210977,0.001216,0.0057622731522659594,REDUNDANCY
entanglement_entropy,certificate_complexity,0.196713,0.015003,0.210652,0.001065,0.005053596921974704,REDUNDANCY
entanglement_entropy,counting,0.196713,0.007250,0.199619,0.004345,0.02176506183390641,REDUNDANCY
entanglement_entropy,degree,0.196713,0.003431,0.199853,0.000292,0.0014597511185522227,REDUNDANCY
influence,spectral_entropy,0.118877,0.095554,0.211881,0.002550,0.012036208253760393,REDUNDANCY
influence,repetitiveness,0.118877,0.074454,0.145074,0.048257,0.3326396254380214,REDUNDANCY
influence,nolinearity,0.118877,0.044399,0.159606,0.003669,0.022990813255990006,REDUNDANCY
influence,entropy,0.118877,0.025846,0.121143,0.023580,0.19464713187282992,REDUNDANCY
influence,sensitivity,0.118877,0.015479,0.120075,0.014282,0.11894090617712298,REDUNDANCY
influence,certificate_complexity,0.118877,0.015003,0.120128,0.013751,0.11447255027184484,REDUNDANCY
influence,counting,0.118877,0.007250,0.119488,0.006639,0.055560113843283535,REDUNDANCY
influence,degree,0.118877,0.003431,0.119126,0.003181,0.02670580568723424,REDUNDANCY
spectral_entropy,repetitiveness,0.095554,0.074454,0.151469,0.018539,0.12239679265616771,REDUNDANCY
spectral_entropy,nolinearity,0.095554,0.044399,0.095558,0.044395,0.46459301209197745,REDUNDANCY
spectral_entropy,entropy,0.095554,0.025846,0.125584,-0.004183,-0.03331024448989323,SYNERGY
spectral_entropy,sensitivity,0.095554,0.015479,0.104758,0.006276,0.059909284129720075,REDUNDANCY
spectral_entropy,certificate_complexity,0.095554,0.015003,0.104651,0.005906,0.05643348536451339,REDUNDANCY
spectral_entropy,counting,0.095554,0.007250,0.105203,-0.002399,-0.022801145733059306,SYNERGY
spectral_entropy,degree,0.095554,0.003431,0.097203,0.001782,0.01833754260644497,REDUNDANCY
repetitiveness,nolinearity,0.074454,0.044399,0.103182,0.015671,0.15187834857940016,REDUNDANCY
repetitiveness,entropy,0.074454,0.025846,0.083589,0.016712,0.19992494737199631,REDUNDANCY
repetitiveness,sensitivity,0.074454,0.015479,0.088573,0.001361,0.015366217105893672,REDUNDANCY
repetitiveness,certificate_complexity,0.074454,0.015003,0.088292,0.001165,0.013194705229250371,REDUNDANCY
repetitiveness,counting,0.074454,0.007250,0.078467,0.003237,0.04125429493489602,REDUNDANCY
repetitiveness,degree,0.074454,0.003431,0.077582,0.000303,0.003909620083252741,REDUNDANCY
nolinearity,entropy,0.044399,0.025846,0.072068,-0.001823,-0.02529176905630982,SYNERGY
nolinearity,sensitivity,0.044399,0.015479,0.056206,0.003673,0.06534389472279466,REDUNDANCY
nolinearity,certificate_complexity,0.044399,0.015003,0.056158,0.003243,0.05775486309560273,REDUNDANCY
nolinearity,counting,0.044399,0.007250,0.050824,0.000825,0.016225024576885665,REDUNDANCY
nolinearity,degree,0.044399,0.003431,0.046470,0.001360,0.02926032784560143,REDUNDANCY
entropy,sensitivity,0.025846,0.015479,0.050892,-0.009567,-0.18798063147053795,SYNERGY
entropy,certificate_complexity,0.025846,0.015003,0.050203,-0.009354,-0.18631608300334399,SYNERGY
entropy,counting,0.025846,0.007250,0.025846,0.007250,0.2805119035109608,REDUNDANCY
entropy,degree,0.025846,0.003431,0.028242,0.001035,0.03664636984353136,REDUNDANCY
sensitivity,certificate_complexity,0.015479,0.015003,0.015832,0.014651,0.9253891750476135,REDUNDANCY
sensitivity,counting,0.015479,0.007250,0.025136,-0.002406,-0.09572451716236723,SYNERGY
sensitivity,degree,0.015479,0.003431,0.017204,0.001706,0.0991827629882459,REDUNDANCY
certificate_complexity,counting,0.015003,0.007250,0.024583,-0.002330,-0.0947916860635721,SYNERGY
certificate_complexity,degree,0.015003,0.003431,0.016804,0.001629,0.09696071029914556,REDUNDANCY
counting,degree,0.007250,0.003431,0.009673,0.001008,0.10425432907889082,REDUNDANCY
